id,name,lat,lon,region_id,type,tier,population_served
fac_0000,Pharmacy North #0000,7.448919,30.69769,reg_north,pharmacy,small,2126
fac_0001,Clinic South #0001,5.869388,37.109609,reg_south,clinic,medium,13935
fac_0002,Clinic East #0002,11.020187,42.806225,reg_east,clinic,small,3069
fac_0003,Hospital North #0003,7.204406,32.946328,reg_north,hospital,large,74987
fac_0004,Hospital South #0004,6.596593,37.113072,reg_south,hospital,small,4300
fac_0005,Clinic East #0005,8.365945,40.463729,reg_east,clinic,small,4127
fac_0006,Clinic North #0006,7.645209,30.217252,reg_north,clinic,medium,14891
fac_0007,Pharmacy South #0007,8.785344,37.760203,reg_south,pharmacy,small,4777
fac_0008,Hospital East #0008,10.773521,43.522859,reg_east,hospital,large,67400
fac_0009,Clinic North #0009,14.852215,34.276589,reg_north,clinic,small,2185
fac_0010,Hospital South #0010,11.356844,36.824161,reg_south,hospital,medium,12428
fac_0011,Clinic East #0011,12.018203,43.417738,reg_east,clinic,small,2093
fac_0012,Clinic North #0012,12.291268,30.817012,reg_north,clinic,medium,13751
fac_0013,Clinic South #0013,7.196152,36.621414,reg_south,clinic,large,93000
fac_0014,Hospital East #0014,5.321002,41.577265,reg_east,hospital,small,4366
fac_0015,Clinic North #0015,10.671801,33.589571,reg_north,clinic,small,4862
fac_0016,Clinic South #0016,14.145476,37.294259,reg_south,clinic,small,4623
fac_0017,Clinic East #0017,10.389773,43.735069,reg_east,clinic,small,3299
