id,name,category,unit,essential_flag,substitute_ids
med_paracetamol,Paracetamol,analgesic,tablets,True,"med_ibuprofen,med_aspirin"
med_amoxicillin,Amoxicillin,antibiotic,tablets,True,"med_azithromycin,med_doxycycline"
med_azithromycin,Azithromycin,antibiotic,tablets,True,"med_amoxicillin,med_doxycycline"
med_insulin,Insulin,hormone,vials,True,
med_ors,ORS,rehydration,sachets,True,
med_ibuprofen,Ibuprofen,analgesic,tablets,True,"med_paracetamol,med_aspirin"
med_ceftriaxone,Ceftriaxone,other,units,True,
med_metformin,Metformin,other,units,True,
med_salbutamol,Salbutamol,respiratory,inhalers,True,
med_aspirin,Aspirin,analgesic,tablets,True,"med_paracetamol,med_ibuprofen"
med_doxycycline,Doxycycline,antibiotic,tablets,True,"med_amoxicillin,med_azithromycin"
med_hydrocortisone,Hydrocortisone,other,units,True,
