id,facility_id,medicine_id,order_date,expected_delivery_date,actual_delivery_date,quantity,status
ord_fac_0000_med_amoxicillin_0000,fac_0000,med_amoxicillin,2026-03-17,2026-03-24,2026-03-24,124.7,delivered
ord_fac_0000_med_amoxicillin_0001,fac_0000,med_amoxicillin,2026-04-07,2026-04-14,2026-04-14,119.3,delivered
ord_fac_0000_med_amoxicillin_0002,fac_0000,med_amoxicillin,2026-04-28,2026-05-06,2026-05-07,128.8,delivered
ord_fac_0000_med_amoxicillin_0003,fac_0000,med_amoxicillin,2026-05-19,2026-05-23,2026-05-23,132.1,delivered
ord_fac_0000_med_amoxicillin_0004,fac_0000,med_amoxicillin,2026-06-09,2026-06-14,2026-06-14,99.8,delivered
ord_fac_0000_med_amoxicillin_0005,fac_0000,med_amoxicillin,2026-06-30,2026-07-03,2026-07-03,140.5,delivered
ord_fac_0000_med_amoxicillin_0006,fac_0000,med_amoxicillin,2026-07-21,2026-07-26,2026-07-26,126.0,delivered
ord_fac_0000_med_amoxicillin_0007,fac_0000,med_amoxicillin,2026-08-11,2026-08-20,2026-08-19,94.6,delivered
ord_fac_0000_med_amoxicillin_0008,fac_0000,med_amoxicillin,2026-09-01,2026-09-09,2026-09-09,112.9,delivered
ord_fac_0000_med_paracetamol_0000,fac_0000,med_paracetamol,2026-03-17,2026-03-27,2026-03-27,98.0,delivered
ord_fac_0000_med_paracetamol_0001,fac_0000,med_paracetamol,2026-04-07,2026-04-12,2026-04-12,107.8,delivered
ord_fac_0000_med_paracetamol_0002,fac_0000,med_paracetamol,2026-04-28,2026-05-08,2026-05-07,118.6,delivered
ord_fac_0000_med_paracetamol_0003,fac_0000,med_paracetamol,2026-05-19,2026-05-27,2026-05-27,114.4,delivered
ord_fac_0000_med_paracetamol_0004,fac_0000,med_paracetamol,2026-06-09,2026-06-12,2026-06-12,88.3,delivered
ord_fac_0000_med_paracetamol_0005,fac_0000,med_paracetamol,2026-06-30,2026-07-06,2026-07-06,86.3,delivered
ord_fac_0000_med_paracetamol_0006,fac_0000,med_paracetamol,2026-07-21,2026-07-26,2026-07-26,113.3,delivered
ord_fac_0000_med_paracetamol_0007,fac_0000,med_paracetamol,2026-08-11,2026-08-17,2026-08-27,100.1,delayed
ord_fac_0000_med_paracetamol_0008,fac_0000,med_paracetamol,2026-09-01,2026-09-08,2026-09-08,107.0,delivered
ord_fac_0000_med_oral_rehydration_salts_0000,fac_0000,med_oral_rehydration_salts,2026-03-17,2026-03-26,2026-03-26,109.2,delivered
ord_fac_0000_med_oral_rehydration_salts_0001,fac_0000,med_oral_rehydration_salts,2026-04-07,2026-04-15,2026-04-21,95.9,delayed
ord_fac_0000_med_oral_rehydration_salts_0002,fac_0000,med_oral_rehydration_salts,2026-04-28,2026-05-06,2026-05-06,91.2,delivered
ord_fac_0000_med_oral_rehydration_salts_0003,fac_0000,med_oral_rehydration_salts,2026-05-19,2026-05-29,2026-06-07,104.3,delayed
ord_fac_0000_med_oral_rehydration_salts_0004,fac_0000,med_oral_rehydration_salts,2026-06-09,2026-06-16,2026-06-15,115.6,delivered
ord_fac_0000_med_oral_rehydration_salts_0005,fac_0000,med_oral_rehydration_salts,2026-06-30,2026-07-07,2026-07-07,89.5,delivered
ord_fac_0000_med_oral_rehydration_salts_0006,fac_0000,med_oral_rehydration_salts,2026-07-21,2026-07-26,2026-07-25,125.1,delivered
ord_fac_0000_med_oral_rehydration_salts_0007,fac_0000,med_oral_rehydration_salts,2026-08-11,2026-08-17,2026-08-18,106.6,delivered
ord_fac_0000_med_oral_rehydration_salts_0008,fac_0000,med_oral_rehydration_salts,2026-09-01,2026-09-11,2026-09-12,133.4,delivered
ord_fac_0000_med_insulin_0000,fac_0000,med_insulin,2026-03-17,2026-03-25,2026-03-25,64.5,delivered
ord_fac_0000_med_insulin_0001,fac_0000,med_insulin,2026-04-07,2026-04-11,2026-04-14,73.4,delayed
ord_fac_0000_med_insulin_0002,fac_0000,med_insulin,2026-04-28,2026-05-06,2026-05-06,83.0,delivered
ord_fac_0000_med_insulin_0003,fac_0000,med_insulin,2026-05-19,2026-05-26,2026-05-27,70.8,delivered
ord_fac_0000_med_insulin_0004,fac_0000,med_insulin,2026-06-09,2026-06-18,2026-06-18,83.9,delivered
ord_fac_0000_med_insulin_0005,fac_0000,med_insulin,2026-06-30,2026-07-06,2026-07-06,82.4,delivered
ord_fac_0000_med_insulin_0006,fac_0000,med_insulin,2026-07-21,2026-07-29,2026-07-30,67.4,delivered
ord_fac_0000_med_insulin_0007,fac_0000,med_insulin,2026-08-11,2026-08-17,2026-08-17,86.5,delivered
ord_fac_0000_med_insulin_0008,fac_0000,med_insulin,2026-09-01,2026-09-08,2026-09-08,80.9,delivered
ord_fac_0000_med_salbutamol_0000,fac_0000,med_salbutamol,2026-03-17,2026-03-23,2026-03-23,99.4,delivered
ord_fac_0000_med_salbutamol_0001,fac_0000,med_salbutamol,2026-04-07,2026-04-11,2026-04-10,101.0,delivered
ord_fac_0000_med_salbutamol_0002,fac_0000,med_salbutamol,2026-04-28,2026-05-04,2026-05-04,100.2,delivered
ord_fac_0000_med_salbutamol_0003,fac_0000,med_salbutamol,2026-05-19,2026-05-29,2026-05-29,106.7,delivered
ord_fac_0000_med_salbutamol_0004,fac_0000,med_salbutamol,2026-06-09,2026-06-18,2026-06-18,100.9,delivered
ord_fac_0000_med_salbutamol_0005,fac_0000,med_salbutamol,2026-06-30,2026-07-08,2026-07-08,112.6,delivered
ord_fac_0000_med_salbutamol_0006,fac_0000,med_salbutamol,2026-07-21,2026-07-28,2026-07-29,133.2,delivered
ord_fac_0000_med_salbutamol_0007,fac_0000,med_salbutamol,2026-08-11,2026-08-21,2026-08-30,134.3,delayed
ord_fac_0000_med_salbutamol_0008,fac_0000,med_salbutamol,2026-09-01,2026-09-06,2026-09-06,127.3,delivered
ord_fac_0000_med_ciprofloxacin_0000,fac_0000,med_ciprofloxacin,2026-03-17,2026-03-25,2026-03-25,101.4,delivered
ord_fac_0000_med_ciprofloxacin_0001,fac_0000,med_ciprofloxacin,2026-04-07,2026-04-14,2026-04-15,91.7,delivered
ord_fac_0000_med_ciprofloxacin_0002,fac_0000,med_ciprofloxacin,2026-04-28,2026-05-03,2026-05-03,80.2,delivered
ord_fac_0000_med_ciprofloxacin_0003,fac_0000,med_ciprofloxacin,2026-05-19,2026-05-23,2026-05-23,100.6,delivered
ord_fac_0000_med_ciprofloxacin_0004,fac_0000,med_ciprofloxacin,2026-06-09,2026-06-14,2026-06-18,98.9,delayed
ord_fac_0000_med_ciprofloxacin_0005,fac_0000,med_ciprofloxacin,2026-06-30,2026-07-02,2026-07-03,78.1,delivered
ord_fac_0000_med_ciprofloxacin_0006,fac_0000,med_ciprofloxacin,2026-07-21,2026-07-26,2026-07-26,82.7,delivered
ord_fac_0000_med_ciprofloxacin_0007,fac_0000,med_ciprofloxacin,2026-08-11,2026-08-18,2026-08-18,102.4,delivered
ord_fac_0000_med_ciprofloxacin_0008,fac_0000,med_ciprofloxacin,2026-09-01,2026-09-09,2026-09-09,101.2,delivered
ord_fac_0000_med_diazepam_0000,fac_0000,med_diazepam,2026-03-17,2026-03-27,2026-03-26,139.2,delivered
ord_fac_0000_med_diazepam_0001,fac_0000,med_diazepam,2026-04-07,2026-04-13,2026-04-23,183.3,delayed
ord_fac_0000_med_diazepam_0002,fac_0000,med_diazepam,2026-04-28,2026-05-04,2026-05-11,157.2,delayed
ord_fac_0000_med_diazepam_0003,fac_0000,med_diazepam,2026-05-19,2026-05-26,2026-05-27,155.7,delivered
ord_fac_0000_med_diazepam_0004,fac_0000,med_diazepam,2026-06-09,2026-06-14,2026-06-14,179.4,delivered
ord_fac_0000_med_diazepam_0005,fac_0000,med_diazepam,2026-06-30,2026-07-09,2026-07-09,170.7,delivered
ord_fac_0000_med_diazepam_0006,fac_0000,med_diazepam,2026-07-21,2026-07-28,2026-07-29,149.7,delivered
ord_fac_0000_med_diazepam_0007,fac_0000,med_diazepam,2026-08-11,2026-08-13,2026-08-13,162.7,delivered
ord_fac_0000_med_diazepam_0008,fac_0000,med_diazepam,2026-09-01,2026-09-08,2026-09-08,176.4,delivered
ord_fac_0000_med_folic_acid_0000,fac_0000,med_folic_acid,2026-03-17,2026-03-23,2026-03-23,130.0,delivered
ord_fac_0000_med_folic_acid_0001,fac_0000,med_folic_acid,2026-04-07,2026-04-16,2026-04-16,89.5,delivered
ord_fac_0000_med_folic_acid_0002,fac_0000,med_folic_acid,2026-04-28,2026-05-03,2026-05-07,107.9,delayed
ord_fac_0000_med_folic_acid_0003,fac_0000,med_folic_acid,2026-05-19,2026-05-28,2026-05-28,98.9,delivered
ord_fac_0000_med_folic_acid_0004,fac_0000,med_folic_acid,2026-06-09,2026-06-19,2026-06-19,127.6,delivered
ord_fac_0000_med_folic_acid_0005,fac_0000,med_folic_acid,2026-06-30,2026-07-08,2026-07-08,96.7,delivered
ord_fac_0000_med_folic_acid_0006,fac_0000,med_folic_acid,2026-07-21,2026-07-26,2026-07-26,98.9,delivered
ord_fac_0000_med_folic_acid_0007,fac_0000,med_folic_acid,2026-08-11,2026-08-15,2026-08-15,124.6,delivered
ord_fac_0000_med_folic_acid_0008,fac_0000,med_folic_acid,2026-09-01,2026-09-06,2026-09-06,89.9,delivered
ord_fac_0000_med_artesunate_0000,fac_0000,med_artesunate,2026-03-17,2026-03-26,2026-03-26,146.7,delivered
ord_fac_0000_med_artesunate_0001,fac_0000,med_artesunate,2026-04-07,2026-04-14,2026-04-15,196.3,delivered
ord_fac_0000_med_artesunate_0002,fac_0000,med_artesunate,2026-04-28,2026-05-04,2026-05-04,206.5,delivered
ord_fac_0000_med_artesunate_0003,fac_0000,med_artesunate,2026-05-19,2026-05-29,2026-06-01,153.7,delayed
